받은날짜,경로,별점,내용,유형,감정,실패차원,급한이유
2026-05-02,앱리뷰,2,신메뉴 라떼 시켰는데 너무 달아요. 당도 조절 옵션 있으면 좋겠어요.,불만,부정,제품기호,신메뉴 라떼 과도한 단맛 (당도조절 옵션 부재)
2026-05-03,설문,,매장이 항상 깨끗해서 좋아요. 직원분들도 친절하세요.,칭찬,긍정,해당없음,
2026-05-04,전화메모,,기프티콘 쓰려는데 앱에서 자꾸 오류나요. 확인 부탁드려요.,불만,부정,신뢰성,기프티콘 사용 시 앱 오류 (결제/사용 차질)
2026-05-05,앱리뷰,5,여기 아메리카노 진짜 맛있어요. 완전 단골 됐어요!,칭찬,긍정,해당없음,
2026-05-06,인스타DM,,비건 디저트도 있나요? 우유 알레르기가 있어서요.,문의,중립,해당없음,
2026-05-07,설문,1,주문하고 20분 기다렸어요. 너무 오래 걸려요.,불만,부정,응답성,주문 후 20분 대기 (과도한 지연)
2026-05-08,앱리뷰,3,음료는 괜찮은데 자리가 너무 좁아요.,불만,중립,유형성,좌석이 좁음 (환경 불편)
2026-05-09,전화메모,,진동벨이 안 울려서 음료가 다 식었어요. 불만입니다.,불만,부정,응답성,진동벨 미작동으로 음료가 식음 (알림 실패)
2026-05-10,설문,4,시즌 한정 메뉴 자주 나왔으면 좋겠어요.,요청,긍정,해당없음,
2026-05-11,앱리뷰,2,와이파이가 자꾸 끊겨요. 카공하기 불편해요.,불만,부정,유형성,와이파이 끊김 (카공 불편)
2026-05-12,인스타DM,,단체 예약도 가능한가요? 10명 정도 인원이에요.,문의,중립,해당없음,
2026-05-13,설문,5,강아지 동반 가능하게 해주셔서 감사해요!,칭찬,긍정,해당없음,
2026-05-14,앱리뷰,1,결제는 됐는데 포인트가 안 쌓였어요. 환불해주세요.,불만,부정,신뢰성,결제됐으나 포인트 미적립 + 환불 요구 (금전 손실)
2026-05-15,전화메모,,개인 텀블러 가져가면 할인 되나요? 다른 매장은 된다던데.,문의,중립,해당없음,
2026-05-16,설문,3,화장실이 멀고 찾기 어려워요. 안내 표시가 있으면 좋겠어요.,불만,부정,유형성,화장실 위치 불편 (안내표시 부재)
2026-05-17,앱리뷰,5,케이크 퀄리티가 베이커리급이에요. 강력 추천!,칭찬,긍정,해당없음,
2026-05-18,인스타DM,,영업시간이 어떻게 되나요? 주말에도 여나요?,문의,중립,해당없음,
2026-05-19,설문,2,가격이 좀 올랐네요. 부담스러워요.,불만,부정,유형성,가격 인상 부담
2026-05-20,앱리뷰,4,콘센트 자리가 많아서 좋아요. 조금만 더 있으면 완벽해요.,칭찬,긍정,해당없음,
2026-05-21,전화메모,,두고 간 우산 찾으러 가도 될까요?,문의,중립,해당없음,
2026-05-22,설문,1,직원이 주문을 잘못 받았어요. 그것도 두 번이나요.,불만,부정,신뢰성,직원이 주문을 두 번 잘못 받음 (반복된 주문 정확성 실패)
2026-05-23,앱리뷰,5,라떼아트가 너무 예뻐서 인스타에 올렸어요.,칭찬,긍정,해당없음,
